squad,player,CalcedPosition
Nîmes,Sofiane Alakouch,FB
Nîmes,Theo Valls,DM
Nîmes,Yassine Benrahou,CF
Nîmes,Zinedine Ferhat,FB
Osasuna,Adrián López,DM
Osasuna,Aridane Hernández,CB
Osasuna,Darko Brašanac,DM
Osasuna,David García,CB
Osasuna,Enric Gallego,CF
Osasuna,Ezequiel Ávila,CF
Osasuna,Facundo Roncaglia,FB
Osasuna,Fran Mérida,DM
Osasuna,Iñigo Pérez,AM
Osasuna,Jon Moncayola,DM
Osasuna,José Arnaiz,CF
Osasuna,Marc Cardona,CF
Osasuna,Nacho Vidal,FB
Osasuna,Oier Sanjurjo,DM
Osasuna,Pervis Estupiñán,FB
Osasuna,Robert Ibáñez,WF
Osasuna,Roberto Torres,CF
Osasuna,Rubén García,AM
Osasuna,Toni Lato,DM
Osasuna,Unai García,FB
Paderborn 07,Abdelhamid Sabiri,WF
Paderborn 07,Ben Zolinski,CF
Paderborn 07,Cauly Oliveira Souza,CF
Paderborn 07,Christian Strohdiek,CB
Paderborn 07,Christopher Antwi-Adjei,WF
Paderborn 07,Dennis Srbeny,CF
Paderborn 07,Gerrit Holtmann,DM
Paderborn 07,Jamilu Collins,FB
Paderborn 07,Kai Pröger,AM
Paderborn 07,Klaus Gjasula,DM
Paderborn 07,Laurent Jans,FB
Paderborn 07,Luca Kilian,FB
Paderborn 07,Mohamed Dräger,CB
Paderborn 07,Sebastian Schonlau,CB
Paderborn 07,Sebastian Vasiliadis,DM
Paderborn 07,Streli Mamba,CF
Paderborn 07,Sven Michel,CF
Paderborn 07,Uwe Hünemeier,CB
Paris S-G,Abdou Diallo,CB
Paris S-G,Ander Herrera,AM
Paris S-G,Colin Dagba,FB
Paris S-G,Edinson Cavani,CF
Paris S-G,Idrissa Gana Gueye,AM
Paris S-G,Juan Bernat,FB
Paris S-G,Julian Draxler,WF
Paris S-G,Kylian Mbappé,WF
Paris S-G,Layvin Kurzawa,FB
Paris S-G,Leandro Paredes,AM
Paris S-G,Marco Verratti,AM
Paris S-G,Marquinhos,AM
Paris S-G,Mauro Icardi,CF
Paris S-G,Neymar,WF
Paris S-G,Pablo Sarabia,AM
Paris S-G,Presnel Kimpembe,CB
Paris S-G,Thiago Silva,CB
Paris S-G,Thilo Kehrer,DM
Paris S-G,Thomas Meunier,FB
Paris S-G,Ángel Di María,WF
Parma,Alberto Grassi,DM
Parma,Andreas Cornelius,CF
Parma,Antonino Barillà,DM
Parma,Bruno Alves,CB
Parma,Dejan Kulusevski,WF
Parma,Gastón Brugman,DM
Parma,Gervinho,CF
Parma,Gianluca Caprari,WF
Parma,Giuseppe Pezzella,FB
Parma,Hernani,AM
Parma,Jasmin Kurtić,DM
Parma,Juraj Kucka,WF
Parma,Kastriot Dermaku,CB
Parma,Matteo Darmian,FB
Parma,Matteo Scozzarella,DM
Parma,Mattia Sprocati,WF
Parma,Riccardo Gagliolo,FB
Parma,Roberto Inglese,CF
Parma,Simone Iacoponi,CB
Parma,Yann Karamoh,AM
RB Leipzig,Amadou Haidara,AM
RB Leipzig,Angeliño,FB
RB Leipzig,Christopher Nkunku,WF
RB Leipzig,Dani Olmo,AM
RB Leipzig,Dayot Upamecano,CB
RB Leipzig,Diego Demme,DM
RB Leipzig,Emil Forsberg,WF
RB Leipzig,Ibrahima Konaté,CB
RB Leipzig,Kevin Kampl,DM
RB Leipzig,Konrad Laimer,AM
RB Leipzig,Lukas Klostermann,DM
RB Leipzig,Marcel Halstenberg,FB
RB Leipzig,Marcel Sabitzer,AM
RB Leipzig,Nordi Mukiele,FB
RB Leipzig,Patrik Schick,CF
RB Leipzig,Timo Werner,WF
RB Leipzig,Tyler Adams,DM
RB Leipzig,Willi Orban,CB
RB Leipzig,Yussuf Poulsen,CF
Real Madrid,Casemiro,DM
Real Madrid,Dani Carvajal,FB
Real Madrid,Eden Hazard,WF
Real Madrid,Federico Valverde,AM
Real Madrid,Ferland Mendy,FB
Real Madrid,Gareth Bale,CF
Real Madrid,Isco,AM
Real Madrid,Karim Benzema,CF
Real Madrid,Lucas Vázquez,AM
Real Madrid,Luka Modrić,AM
Real Madrid,Marcelo,FB
Real Madrid,Raphaël Varane,CB
Real Madrid,Rodrygo,WF
Real Madrid,Sergio Ramos,CB
Real Madrid,Toni Kroos,DM
Real Madrid,Vinicius Júnior,WF
Real Madrid,Éder Militão,CB
Real Sociedad,Adnan Januzaj,FB
Real Sociedad,Alexander Isak,WF
Real Sociedad,Ander Guevara,DM
Real Sociedad,Andoni Gorosabel,FB
Real Sociedad,Aritz Elustondo,CB
Real Sociedad,Diego Llorente,CB
Real Sociedad,Igor Zubeldia,FB
Real Sociedad,Joseba Zaldúa,FB
Real Sociedad,Martin Ødegaard,AM
Real Sociedad,Martín Zubimendi,AM
Real Sociedad,Mikel Merino,DM
Real Sociedad,Mikel Oyarzabal,CF
Real Sociedad,Nacho Monreal,FB
Real Sociedad,Portu,WF
Real Sociedad,Robin Le Normand,CB
Real Sociedad,Willian José,CF
Reims,Alaixys Romao,DM
Reims,Anastasios Donis,WF
Reims,Axel Disasi,CB
Reims,Boulaye Dia,CF
Reims,Dereck Kutesa,FB
Reims,Ghislain Konan,FB
Reims,Hassane Kamara,FB
Reims,Marshall Munetsi,DM
Reims,Mathieu Cafaro,WF
Reims,Moreto Cassamã,FB
Reims,Moussa Doumbia,DM
Reims,Remi Oudin,CF
Reims,Thomas Foket,FB
Reims,Tristan Dingomé,DM
Reims,Xavier Chavalerin,DM
Reims,Yunis Abdelhamid,CB
Rennes,Adrien Hunou,WF
Rennes,Benjamin Bourigeaud,DM
Rennes,Clément Grenier,DM
Rennes,Damien Da Silva,CB
Rennes,Eduardo Camavinga,DM
Rennes,Faitout Maouassa,FB
Rennes,Flavien Tait,WF
Rennes,Hamari Traoré,FB
Rennes,James Lea Siliki,DM
Rennes,Joris Gnagnon,CB
Rennes,Jérémy Gélin,FB
Rennes,Jérémy Morel,CB
Rennes,M'Baye Niang,CF
Rennes,Raphael Dias Belloli,WF
Rennes,Romain Del Castillo,AM
Roma,Aleksandar Kolarov,WF
Roma,Alessandro Florenzi,FB
Roma,Amadou Diawara,AM
Roma,Bruno Peres,FB
Roma,Bryan Cristante,DM
Roma,Carles Pérez,CF
Roma,Cengiz Ünder,WF
Roma,Chris Smalling,CB
Roma,Davide Santon,FB
Roma,Diego Perotti,DM
Roma,Edin Džeko,CF
Roma,Federico Fazio,CB
Roma,Gianluca Mancini,CB
Roma,Henrikh Mkhitaryan,WF
Roma,Javier Pastore,WF
Roma,Jordan Veretout,DM
Roma,Justin Kluivert,WF
Roma,Leonardo Spinazzola,FB
Roma,Lorenzo Pellegrini,WF
Roma,Nicolò Zaniolo,CF
Roma,Nikola Kalinić,CF
Roma,Roger Ibanez,DM
SPAL,Alessandro Murgia,DM
SPAL,Andrea Petagna,CF
SPAL,Arkadiusz Reca,FB
SPAL,Bryan Dabo,AM
SPAL,Espeto,DM
SPAL,Federico Di Francesco,CF
SPAL,Felipe dal Belo,CB
SPAL,Francesco Vicari,CB
SPAL,Igor,FB
SPAL,Jacopo Sala,FB
SPAL,Jasmin Kurtić,WF
SPAL,Kevin Bonifazi,CB
SPAL,Marco D'Alessandro,FB
SPAL,Mattia Valoti,WF
SPAL,Mirko Valdifiori,DM
SPAL,Nenad Tomović,FB
SPAL,Sergio Floccari,DM
SPAL,Simone Missiroli,FB
SPAL,Thiago Cionek,FB
Saint-Étienne,Arnaud Nordin,AM
Saint-Étienne,Charles Abi,DM
Saint-Étienne,Denis Bouanga,WF
Saint-Étienne,Franck Honorat,AM
Saint-Étienne,Harold Moukoudi,CB
Saint-Étienne,Jean-Eudes Aholou,DM
Saint-Étienne,Lois Diony,WF
Saint-Étienne,Loïc Perrin,CB
Saint-Étienne,Mahdi Camara,DM
Saint-Étienne,Mathieu Debuchy,FB
Saint-Étienne,Miguel Trauco,FB
Saint-Étienne,Romain Hamouma,WF
Saint-Étienne,Ryad Boudebouz,DM
Saint-Étienne,Sergi Palencia,DM
Saint-Étienne,Timothée Kolodziejczak,CB
Saint-Étienne,Wahbi Khazri,WF
Saint-Étienne,Wesley Fofana,CB
Saint-Étienne,William Saliba,CB
Saint-Étienne,Yann M'Vila,DM
Saint-Étienne,Yohan Cabaye,DM
Saint-Étienne,Zaydou Youssouf,CB
Sampdoria,Albin Ekdal,DM
Sampdoria,Alex Ferrari,CB
Sampdoria,Andrea Bertolacci,DM
Sampdoria,Bartosz Bereszyński,FB
Sampdoria,Fabio Depaoli,DM
Sampdoria,Fabio Quagliarella,CF
Sampdoria,Federico Bonazzoli,CF
Sampdoria,Gastón Ramírez,CF
Sampdoria,Gianluca Caprari,WF
Sampdoria,Jakub Jankto,DM
Sampdoria,Jeison Murillo,CB
Sampdoria,Julian Chabot,CB
Sampdoria,Karol Linetty,AM
Sampdoria,Lorenzo Tonelli,FB
Sampdoria,Manolo Gabbiadini,CF
Sampdoria,Maya Yoshida,CB
Sampdoria,Mehdi Léris,DM
Sampdoria,Morten Thorsby,DM
Sampdoria,Nicola Murru,FB
Sampdoria,Omar Colley,CB
Sampdoria,Ronaldo Vieira,DM
Sassuolo,Alfred Duncan,AM
Sassuolo,Domenico Berardi,WF
Sassuolo,Federico Peluso,CB
Sassuolo,Filip Đuričić,WF
Sassuolo,Filippo Romagna,CB
Sassuolo,Francesco Caputo,CF
Sassuolo,Francesco Magnanelli,DM
Sassuolo,Gian Marco Ferrari,CB
Sassuolo,Giorgos Kiriakopoulos,FB
Sassuolo,Grégoire Defrel,CF
Sassuolo,Hamed Junior Traorè,WF
Sassuolo,Jeremie Boga,WF
Sassuolo,Jeremy Toljan,FB
Sassuolo,Manuel Locatelli,DM
Sassuolo,Marlon,CB
Sassuolo,Mehdi Bourabia,AM
Sassuolo,Mert Müldür,FB
Sassuolo,Pedro Obiang,DM
Sassuolo,Rogério,FB
Sassuolo,Vlad Chiricheș,CB
Schalke 04,Ahmed Kutucu,CF
Schalke 04,Alessandro Schöpf,DM
Schalke 04,Amine Harit,AM
Schalke 04,Bastian Oczipka,FB
Schalke 04,Benito Raman,CF
Schalke 04,Daniel Caligiuri,AM
Schalke 04,Guido Burgstaller,CF
Schalke 04,Jonjoe Kenny,FB
Schalke 04,Juan Miranda,FB
Schalke 04,Matija Nastasić,CB
Schalke 04,Michael Gregoritsch,CF
Schalke 04,Omar Mascarell,DM
Schalke 04,Ozan Kabak,CB
Schalke 04,Rabbi Matondo,WF
Schalke 04,Salif Sané,CB
Schalke 04,Suat Serdar,WF
Schalke 04,Weston McKennie,DM
Sevilla,Daniel Carriço,CB
Sevilla,Diego Carlos,CB
Sevilla,Fernando,DM
Sevilla,Franco Vázquez,DM
Sevilla,Jesús Navas,FB
Sevilla,Joan Jordán,DM
Sevilla,Jules Koundé,CB
Sevilla,Lucas Ocampos,WF
Sevilla,Luuk de Jong,CF
Sevilla,Munir El Haddadi,WF
Sevilla,Nemanja Gudelj,FB
Sevilla,Nolito,CF
Sevilla,Sergi Gómez,CB
Sevilla,Sergio Escudero,FB
Sevilla,Sergio Reguilón,FB
Sevilla,Suso,FB
Sevilla,Youssef En-Nesyri,CF
Sevilla,Éver Banega,AM
Sevilla,Óliver Torres,AM
Sheffield Utd,Ben Osborn,AM
Sheffield Utd,Billy Sharp,CF
Sheffield Utd,Callum Robinson,CF
Sheffield Utd,Chris Basham,FB
Sheffield Utd,David McGoldrick,WF
Sheffield Utd,Enda Stevens,FB
Sheffield Utd,George Baldock,FB
Sheffield Utd,Jack O'Connell,DM
Sheffield Utd,John Egan,CB
Sheffield Utd,John Fleck,DM
Sheffield Utd,John Lundstram,AM
Sheffield Utd,Lys Mousset,CF
Sheffield Utd,Oliver McBurnie,CF
Sheffield Utd,Oliver Norwood,DM
Sheffield Utd,Sander Berge,DM
Southampton,Che Adams,CF
Southampton,Cédric Soares,DM
Southampton,Danny Ings,WF
Southampton,Jack Stephens,CB
Southampton,James Ward-Prowse,DM
Southampton,Jan Bednarek,CB
Southampton,Jannik Vestergaard,CB
Southampton,Kyle Walker-Peters,FB
Southampton,Maya Yoshida,CB
Southampton,Michael Obafemi,CF
Southampton,Moussa Djenepo,WF
Southampton,Nathan Redmond,WF
Southampton,Oriol Romeu,DM
Southampton,Pierre Højbjerg,DM
Southampton,Ryan Bertrand,FB
Southampton,Shane Long,WF
Southampton,Sofiane Boufal,AM
Southampton,Stuart Armstrong,WF
Southampton,Yan Valery,FB
Strasbourg,Adrien Thomasson,AM
Strasbourg,Alexander Djiku,CB
Strasbourg,Anthony Caci,FB
Strasbourg,Dimitri Liénard,AM
Strasbourg,Ibrahima Sissoko,DM
Strasbourg,Jean-Ricner Bellegarde,DM
Strasbourg,Kenny Lala,FB
Strasbourg,Kévin Zohi,WF
Strasbourg,Lamine Koné,CB
Strasbourg,Lebo Mothiba,CF
Strasbourg,Lionel Carole,FB
Strasbourg,Ludovic Ajorque,CF
Strasbourg,Mohamed Simakan,FB
Strasbourg,Nuno da Costa,WF
Strasbourg,Stefan Mitrović,CB
Strasbourg,Youssouf Fofana,DM
Torino,Andrea Belotti,WF
Torino,Armando Izzo,FB
Torino,Cristian Ansaldi,FB
Torino,Daniele Baselli,DM
Torino,Diego Laxalt,FB
Torino,Gleison Bremer,AM
Torino,Lorenzo De Silvestri,FB
Torino,Lyanco,CB
Torino,Nicolas Nkoulou,CB
Torino,Ola Aina,FB
Torino,Saša Lukić,DM
Torino,Simone Verdi,WF
Torino,Simone Zaza,CF
Torino,Soualiho Meïté,DM
Torino,Tomás Rincón,DM
Torino,Álex Berenguer,WF
Tottenham,Ben Davies,FB
Tottenham,Christian Eriksen,AM
Tottenham,Danny Rose,FB
Tottenham,Davinson Sánchez,CB
Tottenham,Dele Alli,AM
Tottenham,Eric Dier,DM
Tottenham,Giovani Lo Celso,AM
Tottenham,Harry Kane,CF
Tottenham,Harry Winks,AM
Tottenham,Jan Vertonghen,CB
Tottenham,Japhet Tanganga,FB
Tottenham,Lucas Moura,WF
Tottenham,Moussa Sissoko,AM
Tottenham,Serge Aurier,FB
Tottenham,Son Heung-min,WF
Tottenham,Steven Bergwijn,WF
Tottenham,Tanguy Ndombele,DM
Tottenham,Toby Alderweireld,CB
Tottenham,Érik Lamela,WF
Toulouse,Aaron Leya Iseka,CF
Toulouse,Agustín Rogel,CB
Toulouse,Bafodé Diakité,CB
Toulouse,Efthimis Koulouris,CF
Toulouse,Ibrahim Sangaré,DM
Toulouse,Issiaga Sylla,FB
Toulouse,Jean-Victor Makengo,DM
Toulouse,Kelvin Amian,FB
Toulouse,Kouadio Koné,DM
Toulouse,Mathieu Dossevi,DM
Toulouse,Max Gradel,WF
Toulouse,Nicolas Isimat-Mirin,CB
Toulouse,Quentin Boisgard,DM
Toulouse,Ruben Gabrielsen,CB
Toulouse,Steven Moreira,FB
Toulouse,Wesley Saïd,CF
Toulouse,William Vainqueur,DM
Toulouse,Yaya Sanogo,CF
Udinese,Bram Nuytinck,CB
Udinese,Hidde ter Avest,FB
Udinese,Ilija Nestorovski,CF
Udinese,Jens Stryger Larsen,FB
Udinese,Ken Sema,FB
Udinese,Kevin Lasagna,CF
Udinese,Mato Jajalo,DM
Udinese,Rodrigo Becão,FB
Udinese,Rodrigo De Paul,WF
Udinese,Rolando Mandragora,WF
Udinese,Samir Santos,AM
Udinese,Sebastien De Maio,CB
Udinese,Seko Fofana,AM
Udinese,Stefano Okaka,WF
Udinese,Walace,DM
Udinese,William Troost-Ekong,CB
Union Berlin,Anthony Ujah,CF
Union Berlin,Christian Gentner,DM
Union Berlin,Christopher Lenz,DM
Union Berlin,Christopher Trimmel,FB
Union Berlin,Florian Hübner,CB
Union Berlin,Grischa Prömel,DM
Union Berlin,Ken Reichel,FB
Union Berlin,Keven Schlotterbeck,CB
Union Berlin,Marcus Ingvartsen,CF
Union Berlin,Marius Bülter,DM
Union Berlin,Marvin Friedrich,CB
Union Berlin,Michael Parensen,CB
Union Berlin,Neven Subotić,CB
Union Berlin,Robert Andrich,DM
Union Berlin,Sebastian Andersson,CF
Union Berlin,Sheraldo Becker,AM
Union Berlin,Yunus Mallı,DM
Valencia,Alessandro Florenzi,FB
Valencia,Carlos Soler,DM
Valencia,Daniel Parejo,AM
Valencia,Daniel Wass,FB
Valencia,Denis Cheryshev,CF
Valencia,Eliaquim Mangala,CB
Valencia,Ezequiel Garay,CB
Valencia,Ferrán Torres,CF
Valencia,Francis Coquelin,FB
Valencia,Gabriel Paulista,CB
Valencia,Geoffrey Kondogbia,DM
Valencia,Gonçalo Guedes,AM
Valencia,Jaume Costa,FB
Valencia,José Luis Gayà,FB
Valencia,Kévin Gameiro,CF
Valencia,Maxi Gómez,CF
Valencia,Mouctar Diakhaby,CB
Valencia,Rodrigo,CF
Valladolid,Antoñito,FB
Valladolid,Enes Ünal,CF
Valladolid,Fede San Emeterio,DM
Valladolid,Javi Moyano,FB
Valladolid,Javi Sánchez,CB
Valladolid,Joaquín Fernández,DM
Valladolid,Kiko Olivas,CB
Valladolid,Mohammed Salisu,CB
Valladolid,Míchel,DM
Valladolid,Nacho,FB
Valladolid,Pablo Hervías,DM
Valladolid,Pedro Porro,FB
Valladolid,Raúl García,FB
Valladolid,Rubén Alcaraz,DM
Valladolid,Sandro Ramírez,CF
Valladolid,Sergi Guardiola,CF
Valladolid,Toni Villa,DM
Valladolid,Waldo Rubio,DM
Valladolid,Óscar Plano,WF
Villarreal,Alberto Moreno,FB
Villarreal,Andre-Frank Zambo Anguissa,DM
Villarreal,Carlos Bacca,CF
Villarreal,Gerard Moreno,CF
Villarreal,Javier Ontiveros,WF
Villarreal,Karl Toko Ekambi,CF
Villarreal,Manu Trigueros,AM
Villarreal,Mario Gaspar,FB
Villarreal,Moi Gómez,AM
Villarreal,Paco Alcácer,CF
Villarreal,Pau Torres,CB
Villarreal,Raúl Albiol,CB
Villarreal,Rubén Peña,DM
Villarreal,Samuel Chukwueze,WF
Villarreal,Santi Cazorla,AM
Villarreal,Vicente Iborra,DM
Villarreal,Xavi Quintillà,FB
Watford,Abdoulaye Doucouré,WF
Watford,Adam Masina,FB
Watford,Adrian Mariappa,FB
Watford,Andre Gray,CF
Watford,Christian Kabasele,DM
Watford,Craig Cathcart,CB
Watford,Craig Dawson,CB
Watford,Danny Welbeck,WF
Watford,Daryl Janmaat,DM
Watford,Gerard Deulofeu,WF
Watford,Ismaila Sarr,CF
Watford,José Holebas,FB
Watford,Kiko Femenía,FB
Watford,Nathaniel Chalobah,DM
Watford,Roberto Pereyra,DM
Watford,Tom Cleverley,AM
Watford,Troy Deeney,CF
Watford,Will Hughes,DM
Watford,Étienne Capoue,DM
Werder Bremen,Christian Groß,FB
Werder Bremen,Davie Selke,CF
Werder Bremen,Davy Klaassen,WF
Werder Bremen,Johannes Eggestein,CF
Werder Bremen,Josh Sargent,CF
Werder Bremen,Kevin Vogt,FB
Werder Bremen,Leonardo Bittencourt,AM
Werder Bremen,Ludwig Augustinsson,FB
Werder Bremen,Marco Friedl,FB
Werder Bremen,Maximilian Eggestein,DM
Werder Bremen,Michael Lang,CB
Werder Bremen,Milot Rashica,CF
Werder Bremen,Miloš Veljković,CB
Werder Bremen,Niklas Moisander,CB
Werder Bremen,Nuri Şahin,DM
Werder Bremen,Philipp Bargfrede,DM
Werder Bremen,Theodor Gebre Selassie,FB
Werder Bremen,Yuya Osako,WF
Werder Bremen,Ömer Toprak,CB
West Ham,Aaron Cresswell,FB
West Ham,Andriy Yarmolenko,CF
West Ham,Angelo Ogbonna,CB
West Ham,Arthur Masuaku,DM
West Ham,Declan Rice,DM
West Ham,Fabián Balbuena,CB
West Ham,Felipe Anderson,WF
West Ham,Issa Diop,CB
West Ham,Jarrod Bowen,WF
West Ham,Manuel Lanzini,WF
West Ham,Mark Noble,DM
West Ham,Michail Antonio,WF
West Ham,Pablo Fornals,AM
West Ham,Pablo Zabaleta,FB
West Ham,Robert Snodgrass,CF
West Ham,Ryan Fredericks,FB
West Ham,Sébastien Haller,CF
West Ham,Tomáš Souček,WF
Wolfsburg,Admir Mehmedi,AM
Wolfsburg,Daniel Ginczek,CF
Wolfsburg,Felix Klaus,WF
Wolfsburg,Jeffrey Bruma,CB
Wolfsburg,John Brooks,CB
Wolfsburg,Josip Brekalo,WF
Wolfsburg,Josuha Guilavogui,DM
Wolfsburg,João Victor Santos Sá,CF
Wolfsburg,Jérôme Roussillon,FB
Wolfsburg,Kevin Mbabu,AM
Wolfsburg,Marcel Tisserand,CB
Wolfsburg,Marin Pongračić,CB
Wolfsburg,Maximilian Arnold,AM
Wolfsburg,Renato Steffen,AM
Wolfsburg,Robin Knoche,CB
Wolfsburg,William,DM
Wolfsburg,Wout Weghorst,CF
Wolfsburg,Xaver Schlager,DM
Wolfsburg,Yannick Gerhardt,WF
Wolves,Adama Traoré,FB
Wolves,Diogo Jota,WF
Wolves,Jonny Castro,DM
Wolves,João Moutinho,AM
Wolves,Leander Dendoncker,DM
Wolves,Matt Doherty,WF
Wolves,Pedro Neto,WF
Wolves,Raúl Jiménez,CF
Wolves,Romain Saïss,CB
Wolves,Rúben Neves,DM
Wolves,Rúben Vinagre,FB
Wolves,Willy Boly,CB
